Dependency metrics,quinta, 2 dez 2021 12:06:03 WET
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
"org.jabref.gui.entryeditor.UserDefinedFieldsTab",784,14,1 333,1,1 121,11,1
"org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTab",784,6,1 333,1,1 121,6,1
"org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabView",784,7,1 333,1,1 121,6,1
"org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationTabViewModel",784,12,1 333,1,1 121,9,1
"org.jabref.gui.entryeditor.fileannotationtab.FileAnnotationViewModel",0,5,11,3,1 123,3,1
"org.jabref.gui.entryeditor.fileannotationtab.FulltextSearchResultsTab",784,21,1 333,1,1 121,13,1
"org.jabref.gui.errorconsole.ErrorConsoleView",784,13,1 333,1,1 121,7,1
"org.jabref.gui.errorconsole.ErrorConsoleViewModel",784,9,1 333,1,1 121,6,1
"org.jabref.gui.errorconsole.LogEventViewModel",0,4,7,2,1 122,2,1
"org.jabref.gui.exporter.CreateModifyExporterDialogView",784,7,1 333,1,1 121,6,1
"org.jabref.gui.exporter.CreateModifyExporterDialogViewModel",784,13,1 333,1,1 121,9,1
"org.jabref.gui.exporter.ExportCommand",784,25,1 333,1,1 121,12,1
"org.jabref.gui.exporter.ExportToClipboardAction",784,20,1 333,3,1 121,11,3
"org.jabref.gui.exporter.ExportToClipboardAction.ExportResult",0,1,1,1,1 122,1,1
"org.jabref.gui.exporter.ExporterViewModel",784,3,1 333,4,1 121,2,2
"org.jabref.gui.exporter.SaveAction",784,8,1 333,1,1 121,4,1
"org.jabref.gui.exporter.SaveAction.SaveMethod",0,0,0,2,1 122,0,2
"org.jabref.gui.exporter.SaveAllAction",784,8,1 333,1,1 121,5,1
"org.jabref.gui.exporter.SaveDatabaseAction",784,31,1 333,6,1 121,17,4
"org.jabref.gui.exporter.SaveDatabaseAction.SaveDatabaseMode",0,0,0,3,1 122,0,2
"org.jabref.gui.exporter.WriteMetadataToPdfAction",784,22,1 333,2,1 121,13,2
"org.jabref.gui.exporter.WriteMetadataToPdfAction.OptionsDialog",784,3,1 333,1,1 121,3,1
"org.jabref.gui.externalfiles.AutoLinkFilesAction",784,14,1 333,1,1 121,10,1
"org.jabref.gui.externalfiles.AutoSetFileLinksUtil",784,18,1 333,4,1 121,11,3
"org.jabref.gui.externalfiles.AutoSetFileLinksUtil.LinkFilesResult",784,1,1 333,2,1 121,1,1
"org.jabref.gui.externalfiles.DateRange",0,1,6,4,1 125,1,1
"org.jabref.gui.externalfiles.DownloadFullTextAction",784,14,1 333,1,1 121,10,1
"org.jabref.gui.externalfiles.ExternalFileSorter",0,1,6,4,1 125,1,1
"org.jabref.gui.externalfiles.ExternalFilesEntryLinker",784,10,1 333,4,1 121,6,4
"org.jabref.gui.externalfiles.FileDownloadTask",784,3,1 333,1,1 121,2,1
"org.jabref.gui.externalfiles.FileExtensionViewModel",784,6,1 333,2,1 121,5,1
"org.jabref.gui.externalfiles.FileFilterUtils",0,2,8,3,1 124,1,1
"org.jabref.gui.externalfiles.FindUnlinkedFilesAction",784,5,1 333,1,1 121,3,1
"org.jabref.gui.externalfiles.ImportFilesResultItemViewModel",0,3,6,3,1 122,1,1
"org.jabref.gui.externalfiles.ImportHandler",784,26,1 333,4,1 121,19,4
"org.jabref.gui.externalfiles.UnlinkedFilesCrawler",784,8,1 333,1,1 121,4,1
"org.jabref.gui.externalfiles.UnlinkedFilesDialogView",784,23,1 333,2,1 121,9,1
"org.jabref.gui.externalfiles.UnlinkedFilesDialogView.SearchContextAction",784,3,1 333,1,1 121,2,1
"org.jabref.gui.externalfiles.UnlinkedFilesDialogViewModel",784,21,1 333,1,1 121,9,1
"org.jabref.gui.externalfiles.UnlinkedPDFFileFilter",784,3,1 333,1,1 121,3,1
"org.jabref.gui.externalfiletype.CustomExternalFileType",784,6,1 333,4,1 121,2,1
"org.jabref.gui.externalfiletype.CustomizeExternalFileTypesDialog",784,9,1 333,1,1 121,4,1
"org.jabref.gui.externalfiletype.CustomizeExternalFileTypesViewModel",784,8,1 333,1,1 121,4,1
"org.jabref.gui.externalfiletype.EditExternalFileTypeEntryDialog",784,8,1 333,1,1 121,5,1
"org.jabref.gui.externalfiletype.EditExternalFileTypeViewModel",784,2,1 333,1,1 121,2,1
"org.jabref.gui.externalfiletype.EditExternalFileTypesAction",784,3,1 333,1,1 121,3,1
"org.jabref.gui.externalfiletype.ExternalFileTypes",784,12,1 333,51,1 121,8,18
"org.jabref.gui.externalfiletype.StandardExternalFileType",0,5,29,3,1 122,3,2
"org.jabref.gui.externalfiletype.UnknownExternalFileType",0,4,24,5,1 122,2,4
"org.jabref.gui.fieldeditors.AbstractEditorViewModel",784,11,1 333,21,1 121,8,1
"org.jabref.gui.fieldeditors.CitationKeyEditor",784,14,1 333,1,1 121,9,1
"org.jabref.gui.fieldeditors.CitationKeyEditorViewModel",784,8,1 333,1,1 121,8,1
"org.jabref.gui.fieldeditors.DateEditor",784,8,1 333,1,1 121,6,1
"org.jabref.gui.fieldeditors.DateEditorViewModel",784,6,1 333,1,1 121,6,1
"org.jabref.gui.fieldeditors.EditorTextArea",784,6,1 333,5,1 121,3,1
"org.jabref.gui.fieldeditors.EditorTextField",784,5,1 333,4,1 121,3,1
"org.jabref.gui.fieldeditors.EditorTypeEditorViewModel",784,5,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.EditorValidator",784,3,1 333,7,1 121,3,1
"org.jabref.gui.fieldeditors.FieldEditors",784,42,1 333,1,1 121,15,1
"org.jabref.gui.fieldeditors.FieldNameLabel",0,6,18,1,1 122,3,1
"org.jabref.gui.fieldeditors.GenderEditorViewModel",784,5,1 333,1,1 121,5,1
"org.jabref.gui.fieldeditors.IdentifierEditor",784,16,1 333,1,1 121,10,1
"org.jabref.gui.fieldeditors.IdentifierEditorViewModel",784,21,1 333,2,1 121,15,1
"org.jabref.gui.fieldeditors.JournalEditor",784,13,1 333,1,1 121,8,1
